"ID","ID_1","EMAIL_HASH","C","VALUE","CASE_STATUS"
3203374,4191602,"xJM7Luy+Z8EyBT1Wa40T2A==",2,"Closed","Updated"
3196150,4187198,"xKeATpivf8vyobQ9/b1fog==",2,"Closed","Updated"
3196150,4187200,"xKeATpivf8vyobQ9/b1fog==",2,"Closed","Updated"
3175998,4184101,"xmmnD+0VF5Q8U/m+olHKFg==",2,"Open","Updated"
3175998,4184173,"xmmnD+0VF5Q8U/m+olHKFg==",2,"Open","Updated"
3152161,4189157,"xz7cX9Wu1anykyQdNTpiWA==",2,"Closed","Updated"
3152161,4189162,"xz7cX9Wu1anykyQdNTpiWA==",2,"Closed","Updated"
3202832,4190734,"yPUWhXQQYxxMaovtEm0w6g==",2,"Closed","Updated"
3202832,4190756,"yPUWhXQQYxxMaovtEm0w6g==",2,"Closed","Updated"
3071651,4184341,"yUKstuyehxbtva8AddVqbQ==",2,"Closed","Updated"
3071651,4184351,"yUKstuyehxbtva8AddVqbQ==",2,"Closed","Updated"
3153186,4184391,"zPAFz6g3+LwbobxbtotIFw==",2,"Open","Updated"
3153186,4184457,"zPAFz6g3+LwbobxbtotIFw==",2,"Open","Updated"
3197424,4189629,"zXF7Ro3cP9MaKcytPDsEYQ==",2,"Closed","Updated"
3197424,4189639,"zXF7Ro3cP9MaKcytPDsEYQ==",2,"Closed","Updated"
3191183,4185012,"zoLye8g9RAbDAxVJTPPBwQ==",3,"Closed","Updated"
3191183,4185027,"zoLye8g9RAbDAxVJTPPBwQ==",3,"Closed","Updated"
3191183,4185124,"zoLye8g9RAbDAxVJTPPBwQ==",3,"Closed","Updated"
3196219,4190713,"zuYRDTjOjr3yVHYbSO9D4w==",3,"Closed","Updated"
3196219,4190728,"zuYRDTjOjr3yVHYbSO9D4w==",3,"Closed","Updated"
3196219,4190795,"zuYRDTjOjr3yVHYbSO9D4w==",3,"Closed","Updated"
3195737,4190736,"zw9ZmXqNFYFbxWg2AvfVWA==",5,"Closed","Updated"
3195737,4190760,"zw9ZmXqNFYFbxWg2AvfVWA==",5,"Closed","Updated"
3195737,4190782,"zw9ZmXqNFYFbxWg2AvfVWA==",5,"Closed","Updated"
3195737,4190901,"zw9ZmXqNFYFbxWg2AvfVWA==",5,"Closed","Updated"
3195737,4190939,"zw9ZmXqNFYFbxWg2AvfVWA==",5,"Closed","Updated"
